case_name,alt_kft,Re_L,M_inf,alpha_deg,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3,CD_HF,CL_HF,CD_LF1,CD_LF2,CL_LF
case_4748,7.816,47540000,0.3496,1.016,112.8,91.8,559.6,1000,685.1,187.2,67.94,59.27,57.95,27.96,0.00437553,0.0288794,0.113331335,0.112156993,1.433442695
case_4749,12.08,5097000,0.06711,13.58,112.8,91.8,559.6,1000,685.1,187.2,67.94,59.27,57.95,27.96,0.0452121,0.248835,0.113199977,0.112320618,1.432696051
case_4750,25.22,7277000,0.2597,6.637,151.3,188.7,310.8,1000,756.6,186.3,79.98,58,43.76,34.78,0.0141409,0.16463,0.019552222,0.019640141,-0.297187694
case_4751,14.13,32120000,0.2954,-6.194,151.3,188.7,310.8,1000,756.6,186.3,79.98,58,43.76,34.78,0.0113162,-0.152158,0.019559828,0.019176307,-0.297544704
case_4752,37.81,2129000,0.4721,19.96,151.3,188.7,310.8,1000,756.6,186.3,79.98,58,43.76,34.78,0.112776,0.359763,0.165502537,0.171369169,1.817525465
case_4753,2.986,69100000,0.3488,-8.451,151.3,188.7,310.8,1000,756.6,186.3,79.98,58,43.76,34.78,0.0162782,-0.207227,0.165378251,0.170728259,1.816794165
case_4754,7.093,15790000,0.1577,13.1,151.3,188.7,310.8,1000,756.6,186.3,79.98,58,43.76,34.78,0.039911,0.301797,0.165378251,0.170728259,1.816794165
case_4755,10.21,48360000,0.3916,4.49,151.3,188.7,310.8,1000,756.6,186.3,79.98,58,43.76,34.78,0.00761975,0.119016,0.165387043,0.174935251,1.816860702
case_4756,34.28,2025000,0.223,8.318,151.3,188.7,310.8,1000,756.6,186.3,79.98,58,43.76,34.78,0.0212328,0.198422,0.165501196,0.169995283,1.816880086
case_4757,18.8,4292000,0.09499,1.033,151.3,188.7,310.8,1000,756.6,186.3,79.98,58,43.76,34.78,0.0157902,0.0280547,0.165708182,0.172786933,1.818425517
case_4758,31.64,5525000,0.133,-2.919,151.3,188.7,310.8,1000,756.6,186.3,79.98,58,43.76,34.78,0.0129579,-0.068398,0.165359441,0.171276115,1.816050324
case_4759,22.67,46580000,0.4358,16.03,151.3,188.7,310.8,1000,756.6,186.3,79.98,58,43.76,34.78,0.0727699,0.286138,0.165350688,0.171316804,1.816352279
case_4760,30.87,3338000,0.08252,18.92,186.6,70.54,493,1000,697.1,274.6,73.79,58.13,52.86,29.91,0.10762,0.424632,0.041587766,0.041130632,0.712624785
case_4762,11.83,21660000,0.1596,8.382,186.6,70.54,493,1000,697.1,274.6,73.79,58.13,52.86,29.91,0.0229232,0.243005,0.041416792,0.040735083,0.7110687
case_4763,5.568,33210000,0.2129,15.19,186.6,70.54,493,1000,697.1,274.6,73.79,58.13,52.86,29.91,0.0679533,0.329137,0.041446817,0.040651031,0.711465921
case_4764,18.83,45240000,0.3703,13.5,186.6,70.54,493,1000,697.1,274.6,73.79,58.13,52.86,29.91,0.0571752,0.253181,0.041462249,0.040167274,0.71170108
case_4765,21.31,24760000,0.3419,-0.9946,186.6,70.54,493,1000,697.1,274.6,73.79,58.13,52.86,29.91,0.00577412,-0.0235076,0.041496805,0.040252754,0.712360706
case_4766,36.17,947400,0.09576,3.11,186.6,70.54,493,1000,697.1,274.6,73.79,58.13,52.86,29.91,0.0209436,0.0926195,0.041496805,0.040252754,0.712360706
case_4767,2.608,14190000,0.2965,-7.946,186.6,70.54,493,1000,697.1,274.6,73.79,58.13,52.86,29.91,0.017941,-0.222759,0.041448363,0.040110334,0.711505375
case_4768,35.96,11340000,0.4195,-1.448,186.6,70.54,493,1000,697.1,274.6,73.79,58.13,52.86,29.91,0.00813284,-0.0369843,0.041457487,0.040501442,0.711615861
case_4769,25.07,2038000,0.4735,6.13,186.6,70.54,493,1000,697.1,274.6,73.79,58.13,52.86,29.91,0.0159684,0.186931,0.041456251,0.040281869,0.711651862
case_4770,20.76,7057000,0.07656,0.2931,142.2,178.3,302,1000,660.8,275.7,75.59,58.84,59.91,30.59,0.0179731,0.0094772,0.041296901,0.038283098,-0.764010135
case_4771,26.68,7360000,0.473,15.29,142.2,178.3,302,1000,660.8,275.7,75.59,58.84,59.91,30.59,0.071678,0.276854,0.041376454,0.039392319,-0.765378143
case_4772,29.09,19050000,0.2236,-4.018,142.2,178.3,302,1000,660.8,275.7,75.59,58.84,59.91,30.59,0.00995192,-0.10277,0.041367746,0.039018736,-0.76527926
case_4773,2.392,19100000,0.3713,3.965,142.2,178.3,302,1000,660.8,275.7,75.59,58.84,59.91,30.59,0.00767124,0.109622,0.041376454,0.039392319,-0.765378143
case_4774,32.51,177600,0.1758,17.48,142.2,178.3,302,1000,660.8,275.7,75.59,58.84,59.91,30.59,0.0944973,0.348006,0.041370224,0.039212427,-0.765307123
case_4775,4.253,41190000,0.4511,11.12,142.2,178.3,302,1000,660.8,275.7,75.59,58.84,59.91,30.59,0.0357553,0.223774,0.041365781,0.039475379,-0.765177238
case_4777,11.51,44610000,0.2876,-1.051,142.2,178.3,302,1000,660.8,275.7,75.59,58.84,59.91,30.59,0.00560533,-0.0260718,0.04137499,0.039795996,-0.765321622
case_4778,39.6,9934000,0.2605,8.506,142.2,178.3,302,1000,660.8,275.7,75.59,58.84,59.91,30.59,0.0213332,0.220447,0.041370224,0.039212427,-0.765307123
case_4779,12.69,12490000,0.1181,-7.465,142.2,178.3,302,1000,660.8,275.7,75.59,58.84,59.91,30.59,0.022422,-0.189022,0.041359148,0.039437021,-0.765166063
case_4782,22.06,27100000,0.4739,10.19,151.9,184,245.9,1000,578.4,236.5,70.08,40.01,52.89,29.67,0.0256503,0.192393,0.01968417,0.019263646,0.334546684
case_4783,27.27,23650000,0.2582,16.7,151.9,184,245.9,1000,578.4,236.5,70.08,40.01,52.89,29.67,0.0684115,0.289904,0.01969902,0.019292429,0.335292346
case_4784,28.09,9613000,0.1887,0.8648,151.9,184,245.9,1000,578.4,236.5,70.08,40.01,52.89,29.67,0.00832979,0.0212041,0.01969902,0.019292429,0.335292346
case_4785,6.582,4041000,0.1556,13.29,151.9,184,245.9,1000,578.4,236.5,70.08,40.01,52.89,29.67,0.0390854,0.285975,0.019701333,0.019272987,0.335357036
case_4786,12.58,13680000,0.09278,-3.825,151.9,184,245.9,1000,578.4,236.5,70.08,40.01,52.89,29.67,0.0155107,-0.0860146,0.019705219,0.019297186,0.335346341
case_4787,33.15,27610000,0.4444,19.4,151.9,184,245.9,1000,578.4,236.5,70.08,40.01,52.89,29.67,0.09076,0.311587,0.019701249,0.019293529,0.335305791
case_4788,9.358,44540000,0.4001,7.952,151.9,184,245.9,1000,578.4,236.5,70.08,40.01,52.89,29.67,0.0143097,0.193993,0.019701249,0.019293529,0.335305791
case_4789,1.429,7395000,0.09867,2.99,151.9,184,245.9,1000,578.4,236.5,70.08,40.01,52.89,29.67,0.0142697,0.0700791,0.019701249,0.019293529,0.335305791
case_4790,6.087,16510000,0.3691,17.26,110.6,124,428.6,1000,685.7,207.4,66.33,50.86,50.14,31.13,0.0539077,0.255158,0.153945948,0.165521334,1.702463561
case_4791,1.866,6495000,0.2058,9.338,110.6,124,428.6,1000,685.7,207.4,66.33,50.86,50.14,31.13,0.0177223,0.186503,0.155510321,0.159502844,1.705886092
case_4793,9.094,12670000,0.1511,-2.632,110.6,124,428.6,1000,685.7,207.4,66.33,50.86,50.14,31.13,0.00905679,-0.0496649,0.155510321,0.159502844,1.705886092
case_4794,13.46,10090000,0.107,7.826,110.6,124,428.6,1000,685.7,207.4,66.33,50.86,50.14,31.13,0.0190792,0.16124,0.155502694,0.163855455,1.705456467
case_4795,30.98,15960000,0.2339,-4.369,110.6,124,428.6,1000,685.7,207.4,66.33,50.86,50.14,31.13,0.00773803,-0.0864868,0.155685676,0.160608391,1.706789441
case_4796,16.66,14710000,0.3277,-8.586,110.6,124,428.6,1000,685.7,207.4,66.33,50.86,50.14,31.13,0.0142721,-0.170878,0.155364655,0.157961062,1.704742509
case_4797,35.57,25170000,0.4899,11.25,110.6,124,428.6,1000,685.7,207.4,66.33,50.86,50.14,31.13,0.0248621,0.214356,0.15548147,0.161857107,1.705280113
case_4798,21.19,8959000,0.08227,-0.9932,110.6,124,428.6,1000,685.7,207.4,66.33,50.86,50.14,31.13,0.0141634,-0.0159315,0.15548147,0.161857107,1.705280113
case_4799,37.78,1550000,0.4245,15.25,110.6,124,428.6,1000,685.7,207.4,66.33,50.86,50.14,31.13,0.0502835,0.213717,0.155403005,0.159232156,1.704981842
case_4801,10.04,52600000,0.3259,19.84,134.7,145.4,470.9,1000,646,217.7,81.57,55.34,54.9,26.55,0.106149,0.331168,0.055274119,0.051906463,0.952309219
case_4804,2.455,27620000,0.1738,-7.536,134.7,145.4,470.9,1000,646,217.7,81.57,55.34,54.9,26.55,0.0183456,-0.191474,0.055313707,0.054338852,0.952917117
case_4805,27.14,42730000,0.464,-2.736,134.7,145.4,470.9,1000,646,217.7,81.57,55.34,54.9,26.55,0.00707677,-0.0721758,0.055313707,0.054338852,0.952917117
case_4806,22.46,3468000,0.2055,2.812,134.7,145.4,470.9,1000,646,217.7,81.57,55.34,54.9,26.55,0.011448,0.078499,0.055339643,0.05428568,0.953059724
case_4807,7.039,38420000,0.2873,-5.28,134.7,145.4,470.9,1000,646,217.7,81.57,55.34,54.9,26.55,0.00952523,-0.137502,0.055390942,0.054164685,0.953662631
case_4808,31,7746000,0.3651,14.11,134.7,145.4,470.9,1000,646,217.7,81.57,55.34,54.9,26.55,0.044989,0.300728,0.055384406,0.05412458,0.953682662
case_4809,39.66,13930000,0.4184,8.461,134.7,145.4,470.9,1000,646,217.7,81.57,55.34,54.9,26.55,0.0181751,0.232281,0.055366998,0.054168739,0.953459563
case_4812,33.55,8437000,0.1443,13.74,199.9,94.09,450.5,1000,668.9,258.6,70.01,43.97,52.19,33.37,0.0489565,0.36828,0.070210954,0.07198922,1.110162234
case_4814,7.304,10680000,0.4584,-3.995,199.9,94.09,450.5,1000,668.9,258.6,70.01,43.97,52.19,33.37,0.00849098,-0.116335,0.070480491,0.070756292,1.113308616
case_4815,18.61,7506000,0.05987,7.305,199.9,94.09,450.5,1000,668.9,258.6,70.01,43.97,52.19,33.37,0.0353938,0.211545,0.070517528,0.069437932,1.113611759
case_4816,11.38,14890000,0.4039,-7.787,199.9,94.09,450.5,1000,668.9,258.6,70.01,43.97,52.19,33.37,0.0157959,-0.234704,0.07043282,0.068978525,1.112648331
case_4817,31.63,11880000,0.4309,14.16,199.9,94.09,450.5,1000,668.9,258.6,70.01,43.97,52.19,33.37,0.0644407,0.289053,0.07043919,0.068974995,1.112750219
case_4819,21.24,19810000,0.2365,10.18,199.9,94.09,450.5,1000,668.9,258.6,70.01,43.97,52.19,33.37,0.0259847,0.289541,0.070456301,0.068846391,1.113042586
case_4821,39.22,17110000,0.4554,15.43,116.4,135.7,320.8,1000,646.3,262.9,62.65,56.13,48.47,27.92,0.0472581,0.240615,0.101442458,0.105528782,1.34121203
case_4823,5.658,967300,0.07425,6.42,116.4,135.7,320.8,1000,646.3,262.9,62.65,56.13,48.47,27.92,0.0230134,0.129302,0.102326183,0.101827771,1.343744195
case_4825,27.63,16730000,0.2727,19.16,116.4,135.7,320.8,1000,646.3,262.9,62.65,56.13,48.47,27.92,0.0869724,0.258452,0.102362762,0.100631976,1.343953928
case_4826,8.206,50960000,0.3456,-9.202,116.4,135.7,320.8,1000,646.3,262.9,62.65,56.13,48.47,27.92,0.0148388,-0.186499,0.102298827,0.103303463,1.3436786
case_4827,30.57,7113000,0.2131,-3.297,116.4,135.7,320.8,1000,646.3,262.9,62.65,56.13,48.47,27.92,0.00916133,-0.0633217,0.102450314,0.101010584,1.34489897
case_4828,32.53,25900000,0.3706,3.867,116.4,135.7,320.8,1000,646.3,262.9,62.65,56.13,48.47,27.92,0.00605971,0.084468,0.102362762,0.100631976,1.343953928
case_4829,20.44,2630000,0.09798,12.52,116.4,135.7,320.8,1000,646.3,262.9,62.65,56.13,48.47,27.92,0.0356953,0.239878,0.102319486,0.101204906,1.343842409
case_4830,9.67,11040000,0.08503,17.73,187.1,146.6,342.2,1000,634.3,194.6,86.13,47.83,40.62,28.48,0.0820738,0.385293,0.042830128,0.043530942,-0.797518129
case_4831,26.88,22500000,0.2467,0.7582,187.1,146.6,342.2,1000,634.3,194.6,86.13,47.83,40.62,28.48,0.00660733,0.0232377,0.055408559,0.059971233,0.955666584
case_4832,17.74,14300000,0.1644,15.95,187.1,146.6,342.2,1000,634.3,194.6,86.13,47.83,40.62,28.48,0.0579651,0.353778,0.04291726,0.040171078,-0.798970731
case_4833,37.05,7134000,0.1091,-3.774,187.1,146.6,342.2,1000,634.3,194.6,86.13,47.83,40.62,28.48,0.0156682,-0.0931234,0.042830128,0.043530942,-0.797518129
case_4834,0.3241,17390000,0.3574,13.16,187.1,146.6,342.2,1000,634.3,194.6,86.13,47.83,40.62,28.48,0.0380921,0.312697,0.042949703,0.042513592,-0.79957133
case_4835,31.27,1142000,0.425,4.009,187.1,146.6,342.2,1000,634.3,194.6,86.13,47.83,40.62,28.48,0.0116653,0.106872,0.042949703,0.042513592,-0.79957133
case_4836,35.03,7651000,0.4921,-4.066,187.1,146.6,342.2,1000,634.3,194.6,86.13,47.83,40.62,28.48,0.00818632,-0.109913,0.043008526,0.041339216,-0.800430121
case_4837,12.62,38490000,0.4073,5.649,187.1,146.6,342.2,1000,634.3,194.6,86.13,47.83,40.62,28.48,0.00972855,0.159092,0.043009589,0.041763214,-0.800384524
case_4838,5.846,14580000,0.2257,8.585,187.1,146.6,342.2,1000,634.3,194.6,86.13,47.83,40.62,28.48,0.0207545,0.220549,0.042985917,0.041121548,-0.800093486
case_4839,22.62,15410000,0.2759,-7.443,187.1,146.6,342.2,1000,634.3,194.6,86.13,47.83,40.62,28.48,0.0167402,-0.186736,0.042993181,0.041380254,-0.800221802
case_4841,19.63,27360000,0.3698,-4.857,104.7,120.5,398.8,1000,676.5,208.8,63.84,41.05,48.65,25.28,0.00785971,-0.090615,0.043536252,0.044641422,0.848371047
case_4842,6.285,4654000,0.1043,13.36,104.7,120.5,398.8,1000,676.5,208.8,63.84,41.05,48.65,25.28,0.0335037,0.23141,0.043706213,0.043809313,0.850920382
case_4843,35.87,482300,0.1442,-0.9394,104.7,120.5,398.8,1000,676.5,208.8,63.84,41.05,48.65,25.28,0.011527,-0.0131581,0.043536252,0.044641422,0.848371047
case_4844,1.369,29160000,0.3059,4.682,104.7,120.5,398.8,1000,676.5,208.8,63.84,41.05,48.65,25.28,0.00844427,0.093707,0.043681215,0.042926076,0.850624187
case_4845,10.94,30550000,0.2251,16.22,104.7,120.5,398.8,1000,676.5,208.8,63.84,41.05,48.65,25.28,0.0477164,0.219583,0.043721344,0.042921768,0.851043629
case_4846,31.33,1277000,0.08193,-8.855,104.7,120.5,398.8,1000,676.5,208.8,63.84,41.05,48.65,25.28,0.0242664,-0.156089,0.043705427,0.042856605,0.850817099
case_4847,24.98,23750000,0.2513,-2.48,104.7,120.5,398.8,1000,676.5,208.8,63.84,41.05,48.65,25.28,0.00730743,-0.0433249,0.043742699,0.042757537,0.851301452
case_4848,22.14,31220000,0.4112,8.551,104.7,120.5,398.8,1000,676.5,208.8,63.84,41.05,48.65,25.28,0.0136705,0.170158,0.043731172,0.042366025,0.851190297
case_4849,15.65,67230000,0.4783,7.307,104.7,120.5,398.8,1000,676.5,208.8,63.84,41.05,48.65,25.28,0.0100375,0.153852,0.043731172,0.042366025,0.851190297
case_4851,31.71,12560000,0.4576,14.68,170.3,138.5,571.2,1000,708.4,250.9,64.56,47.05,59.56,26.93,0.0757739,0.318047,0.197597287,0.202736231,1.943261193
case_4852,1.603,14340000,0.3611,-0.5807,170.3,138.5,571.2,1000,708.4,250.9,64.56,47.05,59.56,26.93,0.00624543,-0.0123454,0.195188849,0.211518984,1.930629541
case_4853,13.24,56030000,0.4205,12.39,170.3,138.5,571.2,1000,708.4,250.9,64.56,47.05,59.56,26.93,0.0574771,0.262362,0.19797939,0.20508759,1.955484692
case_4854,37.24,4221000,0.1984,-2.393,170.3,138.5,571.2,1000,708.4,250.9,64.56,47.05,59.56,26.93,0.0114484,-0.0716873,0.197597287,0.202736231,1.943261193
case_4855,6.53,10060000,0.1103,4.52,170.3,138.5,571.2,1000,708.4,250.9,64.56,47.05,59.56,26.93,0.0200514,0.155548,0.197141991,0.202188399,1.941218155
case_4856,10.07,15790000,0.1754,6.458,170.3,138.5,571.2,1000,708.4,250.9,64.56,47.05,59.56,26.93,0.0184722,0.221496,0.197496995,0.204442147,1.942926333
case_4857,22.13,30210000,0.4055,-7.434,170.3,138.5,571.2,1000,708.4,250.9,64.56,47.05,59.56,26.93,0.0155968,-0.253535,0.197237105,0.202282996,1.941363082
case_4858,35.46,5725000,0.08198,18.73,170.3,138.5,571.2,1000,708.4,250.9,64.56,47.05,59.56,26.93,0.105182,0.504831,0.196913056,0.20275714,1.939945369
case_4860,20.79,12490000,0.3356,1.169,103.3,116.9,697.2,1000,765.2,219.9,76.97,46.39,40.07,32.07,0.00601271,0.0469491,0.165557228,0.165700558,1.765566516
case_4863,1.316,5318000,0.2508,4.718,103.3,116.9,697.2,1000,765.2,219.9,76.97,46.39,40.07,32.07,0.0129148,0.143595,0.165861077,0.166867252,1.766633435
case_4865,36.54,16620000,0.4096,8.144,103.3,116.9,697.2,1000,765.2,219.9,76.97,46.39,40.07,32.07,0.0161218,0.248153,0.165744245,0.16828303,1.765931746
case_4866,31.83,1423000,0.08528,16.34,103.3,116.9,697.2,1000,765.2,219.9,76.97,46.39,40.07,32.07,0.0685702,0.375972,0.16545568,0.166402693,1.764397519
case_4869,4.914,31510000,0.4827,-3.601,103.3,116.9,697.2,1000,765.2,219.9,76.97,46.39,40.07,32.07,0.0057151,-0.105126,0.16545568,0.166402693,1.764397519
case_4870,7.23,7140000,0.1112,13.68,182.3,174.2,337.4,1000,566.1,279.1,80.96,56.46,48.08,30.38,0.0558278,0.397511,0.045855433,0.046784708,0.796156556
case_4874,34.65,9534000,0.2214,8.983,182.3,174.2,337.4,1000,566.1,279.1,80.96,56.46,48.08,30.38,0.0254912,0.279152,0.014503707,0.014420265,-0.15326018
case_4875,12.41,40950000,0.3481,18.43,182.3,174.2,337.4,1000,566.1,279.1,80.96,56.46,48.08,30.38,0.122578,0.378979,0.014505854,0.014403433,-0.153461759
case_4876,17.05,27930000,0.2369,14.75,182.3,174.2,337.4,1000,566.1,279.1,80.96,56.46,48.08,30.38,0.0664185,0.362407,0.01450652,0.014409062,-0.153507339
case_4877,38.24,3340000,0.2838,0.7999,182.3,174.2,337.4,1000,566.1,279.1,80.96,56.46,48.08,30.38,0.00782666,0.0282196,0.014505854,0.014403433,-0.153461759
case_4878,28.78,3304000,0.4501,6.884,182.3,174.2,337.4,1000,566.1,279.1,80.96,56.46,48.08,30.38,0.0185538,0.21987,0.014506,0.014404802,-0.153471488
case_4879,8.453,12450000,0.1626,-1.583,182.3,174.2,337.4,1000,566.1,279.1,80.96,56.46,48.08,30.38,0.0104007,-0.046875,0.014506338,0.014408195,-0.153497174
case_4880,30.99,21750000,0.3055,14.32,170.9,192.8,626,1000,842.5,215.1,83.44,59.05,50.58,31.23,0.0814997,0.375541,0.037899522,0.037188544,0.705552088
case_4881,25.17,18740000,0.3658,12.34,170.9,192.8,626,1000,842.5,215.1,83.44,59.05,50.58,31.23,0.0621447,0.330037,0.038065974,0.03757614,0.707074979
case_4884,18.38,7918000,0.09382,-9.459,170.9,192.8,626,1000,842.5,215.1,83.44,59.05,50.58,31.23,0.0416978,-0.340502,0.037920604,0.03665523,0.70579896
case_4885,12.14,15580000,0.1025,18.21,170.9,192.8,626,1000,842.5,215.1,83.44,59.05,50.58,31.23,0.132052,0.525053,0.037943963,0.036579334,0.706213468
case_4887,0.0944,34360000,0.1689,9.296,170.9,192.8,626,1000,842.5,215.1,83.44,59.05,50.58,31.23,0.0315647,0.354271,0.037930612,0.036728716,0.705949242
case_4888,5.495,28210000,0.2361,-5.337,170.9,192.8,626,1000,842.5,215.1,83.44,59.05,50.58,31.23,0.0146181,-0.200135,0.037945992,0.036706079,0.706582504
case_4889,8.709,6210000,0.4384,6.11,170.9,192.8,626,1000,842.5,215.1,83.44,59.05,50.58,31.23,0.0184257,0.250167,0.037938227,0.036742346,0.706127662
case_4891,12.92,4611000,0.3958,-3.076,142.9,99.25,538.8,1000,599.4,228.7,60.76,59.41,50.11,24.63,0.00870648,-0.0731124,0.039794683,0.040647124,0.776970415
case_4892,6.388,7679000,0.2872,4.048,142.9,99.25,538.8,1000,599.4,228.7,60.76,59.41,50.11,24.63,0.0106931,0.11009,0.039870963,0.037638351,0.77827966
case_4893,20.68,13120000,0.2069,-8.895,142.9,99.25,538.8,1000,599.4,228.7,60.76,59.41,50.11,24.63,0.0184996,-0.212834,0.039910964,0.038758164,0.778947941
case_4895,18.04,23680000,0.4694,1.154,142.9,99.25,538.8,1000,599.4,228.7,60.76,59.41,50.11,24.63,0.00654781,0.0391755,0.039910964,0.038758164,0.778947941
case_4896,36.45,1178000,0.07098,-5.247,142.9,99.25,538.8,1000,599.4,228.7,60.76,59.41,50.11,24.63,0.0253118,-0.12223,0.039951821,0.038354403,0.779496756
case_4898,9.389,28850000,0.1684,18.92,142.9,99.25,538.8,1000,599.4,228.7,60.76,59.41,50.11,24.63,0.0939351,0.306511,0.039966973,0.03860563,0.780128999
case_4899,28.7,26120000,0.4464,6.766,142.9,99.25,538.8,1000,599.4,228.7,60.76,59.41,50.11,24.63,0.0132445,0.187991,0.039956272,0.038651206,0.779599053
case_4900,2.333,69020000,0.3228,12.47,136.8,167.5,685.7,1000,585.4,239.9,88.7,50.19,56.03,28.06,0.0553661,0.316545,0.063711886,0.068653306,-1.016363206
case_4902,36.94,1765000,0.2442,8.21,136.8,167.5,685.7,1000,585.4,239.9,88.7,50.19,56.03,28.06,0.0243717,0.286371,0.063711886,0.068653306,-1.016363206
case_4903,23.53,15930000,0.22,19.15,136.8,167.5,685.7,1000,585.4,239.9,88.7,50.19,56.03,28.06,0.126254,0.428449,0.063864526,0.061688396,-1.01897113
case_4904,26.53,30720000,0.3795,14.43,136.8,167.5,685.7,1000,585.4,239.9,88.7,50.19,56.03,28.06,0.0767429,0.33308,0.06385035,0.063391028,-1.018713034
case_4905,35.34,2642000,0.09421,1.005,136.8,167.5,685.7,1000,585.4,239.9,88.7,50.19,56.03,28.06,0.0193692,0.0448835,0.06377427,0.062358158,-1.017689427
case_4906,31.38,38560000,0.4935,5.883,136.8,167.5,685.7,1000,585.4,239.9,88.7,50.19,56.03,28.06,0.0127374,0.242928,0.063780691,0.062976192,-1.017999688
case_4907,7.886,15460000,0.1842,2.591,136.8,167.5,685.7,1000,585.4,239.9,88.7,50.19,56.03,28.06,0.0114324,0.104488,0.063829389,0.062386132,-1.018472664
case_4908,14.97,8996000,0.1084,-9.892,136.8,167.5,685.7,1000,585.4,239.9,88.7,50.19,56.03,28.06,0.0345934,-0.326139,0.063808683,0.061718159,-1.018424466
case_4909,16.35,7799000,0.3012,-5.627,136.8,167.5,685.7,1000,585.4,239.9,88.7,50.19,56.03,28.06,0.0149181,-0.194804,0.063802624,0.061359561,-1.018271882
case_4912,26,7066000,0.1202,0.3339,153.2,91.1,585.4,1000,744,208.8,60.66,48,40.38,33.55,0.0134271,0.0163676,0.069276457,0.07171309,1.122642487
case_4914,21.44,36910000,0.3603,19.4,153.2,91.1,585.4,1000,744,208.8,60.66,48,40.38,33.55,0.0985148,0.304843,0.069502821,0.068751167,1.125291791
case_4915,35.96,11410000,0.2332,-5.826,153.2,91.1,585.4,1000,744,208.8,60.66,48,40.38,33.55,0.0121817,-0.14236,0.069569529,0.070509563,1.125950416
case_4916,2.682,12520000,0.1579,7.288,153.2,91.1,585.4,1000,744,208.8,60.66,48,40.38,33.55,0.0181028,0.195121,0.069502821,0.068751167,1.125291791
case_4917,14.1,7759000,0.281,-1.181,153.2,91.1,585.4,1000,744,208.8,60.66,48,40.38,33.55,0.00765624,-0.0230981,0.069606443,0.068590731,1.126271533
case_4918,18.24,1644000,0.1864,14.52,153.2,91.1,585.4,1000,744,208.8,60.66,48,40.38,33.55,0.0502918,0.31088,0.069562681,0.068631073,1.125717118
case_4919,4.417,41050000,0.3964,9.805,153.2,91.1,585.4,1000,744,208.8,60.66,48,40.38,33.55,0.0283618,0.223652,0.069562681,0.068631073,1.125717118
case_4922,16.11,3835000,0.1497,16.64,195,164.6,652.7,1000,805.9,191.9,82.02,50.28,51.93,36.68,0.101752,0.444708,0.052575792,0.051436839,-0.910630547
case_4925,20.19,21150000,0.2419,13.5,195,164.6,652.7,1000,805.9,191.9,82.02,50.28,51.93,36.68,0.0673913,0.381746,0.052255351,0.050222049,-0.90843402
case_4926,1.188,13320000,0.06191,-2.836,195,164.6,652.7,1000,805.9,191.9,82.02,50.28,51.93,36.68,0.0306283,-0.092861,0.052258197,0.051849542,-0.908490942
case_4927,12.11,19790000,0.3662,8.027,195,164.6,652.7,1000,805.9,191.9,82.02,50.28,51.93,36.68,0.0220075,0.288873,0.052278115,0.050582367,-0.908809746
case_4928,4.547,869500,0.137,7.441,195,164.6,652.7,1000,805.9,191.9,82.02,50.28,51.93,36.68,0.0308281,0.259407,0.052278115,0.050582367,-0.908809746
case_4929,35.64,13380000,0.3,-8.543,195,164.6,652.7,1000,805.9,191.9,82.02,50.28,51.93,36.68,0.0225616,-0.299794,0.052256208,0.050561357,-0.908526226
case_4930,13.96,57310000,0.4124,-4.791,120.9,119.1,234.7,1000,791.4,256.9,75.08,42.12,58.4,30.61,0.00564288,-0.0765592,0.021091525,0.020792552,-0.265777232
case_4931,28.42,2877000,0.1491,-0.1567,120.9,119.1,234.7,1000,791.4,256.9,75.08,42.12,58.4,30.61,0.00931858,-0.000951748,0.021091525,0.020792552,-0.265777232
case_4932,19.45,11920000,0.1192,19.85,120.9,119.1,234.7,1000,791.4,256.9,75.08,42.12,58.4,30.61,0.0732223,0.270105,0.032890196,0.032089222,0.649828398
case_4934,36.69,7542000,0.2955,-7.471,120.9,119.1,234.7,1000,791.4,256.9,75.08,42.12,58.4,30.61,0.0112604,-0.116523,0.032889757,0.03205124,0.649871197
case_4935,5.582,22450000,0.2058,15.1,120.9,119.1,234.7,1000,791.4,256.9,75.08,42.12,58.4,30.61,0.0361358,0.216605,0.032915639,0.03140263,0.650321381
case_4936,35.52,1308000,0.3751,12.37,120.9,119.1,234.7,1000,791.4,256.9,75.08,42.12,58.4,30.61,0.0278235,0.173324,0.032908612,0.031585002,0.650127065
case_4937,1.506,47860000,0.3537,9.55,120.9,119.1,234.7,1000,791.4,256.9,75.08,42.12,58.4,30.61,0.0143525,0.155231,0.032908612,0.031585002,0.650127065
case_4938,11.62,2235000,0.06359,-2.68,120.9,119.1,234.7,1000,791.4,256.9,75.08,42.12,58.4,30.61,0.0176823,-0.0408957,0.03291604,0.031963371,0.650263506
case_4939,23.9,13090000,0.2656,5.921,120.9,119.1,234.7,1000,791.4,256.9,75.08,42.12,58.4,30.61,0.00917376,0.0953239,0.032923222,0.031651627,0.650420127
case_4940,24.23,42790000,0.4208,10.26,163.7,100.6,378.2,1000,568.8,185.4,69.73,59.85,42.92,36.72,0.0241729,0.187736,0.043176667,0.042726979,-0.78648063
case_4942,4.044,49240000,0.373,-0.1991,163.7,100.6,378.2,1000,568.8,185.4,69.73,59.85,42.92,36.72,0.00391249,-7.02E-05,0.043403202,0.042453142,-0.788241564
case_4943,3.376,2873000,0.1071,3.433,163.7,100.6,378.2,1000,568.8,185.4,69.73,59.85,42.92,36.72,0.0143386,0.0736689,0.043249447,0.042495825,0.785208039
